"unit","group_name_partner","date_and_time","borough","locationtype","location","event_name","event_type","category","classification","attendance","audience"
"Recreation",,"2018-04-12T18:30:00.000","Manhattan","Recreation Center","Alfred E. Smith Recreation Center","Battle of the Paddles Special Event","Tournament/Competition","Sport",,"60","Adults;#Seniors;#Young Adult"
"Recreation",,"2018-01-20T00:00:00.000","Manhattan","Recreation Center","Alfred E. Smith Recreation Center","Event New Year Ultimate Fitness Frenzy","Local Event","Fitness",,"50","Teens;#Young Adult;#Adults;#Seniors"
"Recreation",,"2018-06-11T10:00:00.000","Bronx","Park","Poe Park","Youth Arts Festival","Community Based Event","Mobile Unit","Play","150","Children;#General Public"
"Recreation","Musuem of Chinese in America","2019-06-07T19:00:00.000","Manhattan","Park","Columbus Park","Movie: Kung Fu Panda","Community Based Event","Mobile Unit","M.U.T.S","325","Children;#Young Adult;#General Public"
"Recreation",,"2019-06-08T11:00:00.000","Manhattan","Recreation Center","Pelham Fritz Recreation Center","Live, Laugh, Love Fitness Expo","Agency Produced Event","Fitness","Fitness","166","General Public;#Adults;#Young Adult;#Seniors"
"Recreation",,"2019-06-08T20:30:00.000","Staten Island","Park","Great Kills Park","Iron Man 2 (2010)","Community Based Event","Mobile Unit","M.U.T.S","70","General Public"
"Recreation",,"2019-06-01T20:30:00.000","Staten Island","Park","Willowbrook Park","Iron Man (2008)","Community Based Event","Mobile Unit","M.U.T.S","75","General Public"
"Recreation","Council Member Levine","2019-06-06T19:00:00.000","Manhattan","Park","Carmansville Park","Movie: Green Book","Community Based Event","Mobile Unit","M.U.T.S","290","General Public;#Teens;#Adults"
"Recreation",,"2019-06-05T18:30:00.000","Manhattan","Recreation Center","Recreation Center 54","Daughter and Father Cotillion","Agency Produced Event","Family Festival",,"48","Children;#Young Adult;#Teens;#Adults"
"Recreation","Council Member Rosenthal","2019-06-04T19:00:00.000","Manhattan","Playground","Samuel N. Bennerson 2nd Playground","Movie: Fantastic Beasts: The Crimes of Grindlewald","Community Based Event","Mobile Unit","M.U.T.S","246","Adults;#Teens;#Young Adult;#General Public"
"Recreation","Jazz Foundation","2019-06-06T18:00:00.000","Manhattan","Park","Marcus Garvey Park","Jazz Concert","Community Based Event","Arts/Culture","AC&F","350","General Public"
"Urban Park Rangers","National Park Service","2019-06-12T10:00:00.000","Brooklyn","Park","Canarsie Park","Seining","Agency Produced Event","Nature","Aquatics","10","Adults"
"Recreation",,"2019-06-11T11:00:00.000","Manhattan","Park","John Jay Park","Learn to Ride","Community Based Event","Fitness",,"35","Children;#Young Adult;#Teens"
"Recreation","Councilman Torres","2018-06-16T20:30:00.000","Bronx","Playground","Parkside Playground","Movies Under The Stars: Despicable Me 3","Community Based Event","Mobile Unit","Movies","26","General Public"
"Recreation","Council Member Kallos","2019-05-11T13:00:00.000","Manhattan","Park","Andrew Haswell Green Park","Jazz Concert: Lara Bello","Community Based Event","Arts/Culture",,"85","General Public"
"Recreation",,"2019-05-18T12:30:00.000","Manhattan","Recreation Center","Jackie Robinson Recreation Center","Self-Care for Mothers and Families","Agency Produced Event","Family Festival",,"85","General Public"
"Recreation","Jazz Foundation","2019-05-11T13:00:00.000","Manhattan","Recreation Center","Jackie Robinson Recreation Center","Jazz Concert","Agency Produced Event","Arts/Culture","AC&F","40","General Public"
"Recreation",,"2019-05-17T16:00:00.000","Manhattan","Recreation Center","Thomas Jefferson Recreation Center","Teen Fitness Challenge","Agency Produced Event","Fitness","Fitness","12","Teens"
"Recreation","Jazz Foundation","2019-05-16T18:00:00.000","Manhattan","Recreation Center","Pelham Fritz Recreation Center","Jazz Concert","Agency Produced Event","Arts/Culture","AC&F","90","General Public"
"Recreation",,"2019-05-15T17:00:00.000","Manhattan","Recreation Center","Gertrude Ederle Recreation Center","Senior Game Night","Agency Produced Event","Sport",,"2","Seniors"
"Recreation","Bike NYC","2019-05-18T11:00:00.000","Queens","Park","Grover Cleveland Park","Learn to Ride","Community Based Event","Sport",,"23","Children;#Teens"
"Recreation",,"2019-05-11T12:00:00.000","Manhattan","Recreation Center","Pelham Fritz Recreation Center","Sports Spectacular","Agency Produced Event","Sport",,"10","General Public"
"Recreation",,"2019-05-11T12:30:00.000","Manhattan","Recreation Center","Chelsea Recreation Center","She Got Game","Agency Produced Event","Sport",,"6","Adults;#Teens;#Seniors;#General Public"
"Recreation","Jazz Foundation","2019-05-09T18:00:00.000","Manhattan","Recreation Center","Pelham Fritz Recreation Center","Jazz Concert","Agency Produced Event","Arts/Culture","AC&F","70","General Public"
