address_name,borough,street_code,school_name
7 avenue,NY,10610,Frederick Douglass Academy
10 avenue,NY,11010,Independence High School
academy street,NY,11310,Inwood Early College for Health and Information Technologies
academy street,NY,11310,High School for Excellence and Innovation
amsterdam avenue,NY,11710,"Maxine Greene High School for Imaginative Inquiry, The"
amsterdam avenue,NY,11710,"Urban Assembly School for Media Studies, The"
amsterdam avenue,NY,11710,Fiorello H. LaGuardia High School of Music & Art and Performing Arts
amsterdam avenue,NY,11710,"High School for Law, Advocacy and Community Justice"
amsterdam avenue,NY,11710,High School of Arts and Technology
amsterdam avenue,NY,11710,Manhattan / Hunter Science High School
amsterdam avenue,NY,11710,Special Music School
astor place,NY,11820,Harvey Milk High School
audubon avenue,NY,12010,"College Academy, The"
audubon avenue,NY,12010,High School for Media and Communications
audubon avenue,NY,12010,High School for Law and Public Service
audubon avenue,NY,12010,High School for Health Careers and Sciences
avenue of the americas,NY,10510,NYC iSchool
avenue of the americas,NY,10510,Chelsea Career and Technical Education High School
beaver street,NY,12950,Richard R. Green High School of Teaching
broad street,NY,13590,Millennium High School
broadway,NY,13610,"Urban Assembly School of Business for Young Women, The"
broadway,NY,13610,City College Academy of the Arts
chambers street,NY,14710,Stuyvesant High School
clarkson street,NY,15420,City-As-School
columbia street,NY,15610,"New Explorations into Science, Technology and Math High School (NEST+m)"
convent avenue,NY,15910,"High School for Math, Science and Engineering at City College (HSMSE)"
east 12 street,NY,17230,East Side Community School
east 15 street,NY,17290,"Clinton School, The"
east 15 street,NY,17290,Institute for Collaborative Education (ICE)
east 15 street,NY,17290,High School for Health Professions and Human Services
east 22 street,NY,17430,School of the Future High School
east 23 street,NY,17450,47 The American Sign Language and English Secondary School
east 25 street,NY,17490,Baruch College Campus High School
east 33 street,NY,17650,Manhattan Academy for Arts & Language
east 33 street,NY,17650,Murray Hill Academy
east 33 street,NY,17650,Unity Center for Urban Technologies
east 56 street,NY,18110,Art and Design High School
east 67 street,NY,18330,Vanguard High School
east 67 street,NY,18330,Manhattan International High School
east 67 street,NY,18330,Talent Unlimited High School
east 76 street,NY,18510,Eleanor Roosevelt High School
east 96 street,NY,18890,Life Sciences Secondary School
east 105 street,NY,19070,Park East High School
east 106 street,NY,19090,Young Women's Leadership School (TYWLS)
east 109 street,NY,19150,Esperanza Preparatory Academy
east houston street,NY,19890,Bard High School Early College
edgecombe avenue,NY,19990,Eagle Academy for Young Men of Harlem
edgecombe avenue,NY,19990,Mott Hall High School
forsyth street,NY,20640,Forsyth Satellite Academy
grand street,NY,21690,Essex Street Academy
grand street,NY,21690,"Urban Assembly Academy of Government and Law, The"
grand street,NY,21690,Lower Manhattan Arts Academy
grand street,NY,21690,New Design High School
grand street,NY,21690,High School for Dual Language and Asian Studies
henry street,NY,22690,Orchard Collegiate Academy
hester street,NY,22890,Pace High School
hester street,NY,22890,Emma Lazarus High School for English Language Scholars
irving place,NY,23390,Gramercy Arts High School
irving place,NY,23390,"High School for Language and Diplomacy, The"
irving place,NY,23390,International High School at Union Square
irving place,NY,23390,Union Square Academy for Health Sciences
irving place,NY,23390,Academy for Software Engineering (AFSE)
lexington avenue,NY,24890,"Heritage School, The"
madison avenue,NY,25390,Central Park East High School
madison avenue,NY,25390,"Urban Assembly School for Global Commerce, The"
monroe street,NY,26390,University Neighborhood High School
pearl street,NY,28490,"Urban Assembly School for Emergency Management, The"
pearl street,NY,28490,Manhattan Early College School for Advertising
pearl street,NY,28490,Urban Assembly Maker Academy
pearl street,NY,28490,Murry Bergtraum High School for Business Careers
pleasant avenue,NY,29090,Manhattan Center for Science and Mathematics
short avenue,NY,30520,Urban Assembly New York Harbor School
trinity place,NY,32615,Leadership and Public Service High School
trinity place,NY,32615,High School of Economics and Finance
west 14 street,NY,34050,Harvest Collegiate High School
west 17 street,NY,34110,N.Y.C. Lab School for Collaborative Studies
west 17 street,NY,34110,N.Y.C. Museum School
west 18 street,NY,34130,"James Baldwin School, The"
west 18 street,NY,34130,Manhattan Business Academy
west 18 street,NY,34130,Landmark High School
west 18 street,NY,34130,Quest to Learn
west 18 street,NY,34130,Hudson High School of Learning Technologies
west 18 street,NY,34130,Humanities Preparatory Academy
west 22 street,NY,34210,Manhattan Village Academy
west 24 street,NY,34250,"High School of Fashion Industries, The"
west 43 street,NY,34630,Repertory Company High School for Theatre Arts
west 44 street,NY,34650,Beacon High School
west 46 street,NY,34690,Jacqueline Kennedy Onassis High School
west 48 street,NY,34730,Professional Performing Arts High School (PPAS)
west 49 street,NY,34750,Stephen T. Mather Building Arts & Craftsmanship High School
west 49 street,NY,34750,Business of Sports School
west 49 street,NY,34750,Urban Assembly Gateway School for Technology
west 50 street,NY,34770,Food and Finance High School
west 50 street,NY,34770,High School of Hospitality Management
west 50 street,NY,34770,"Urban Assembly School of Design and Construction, The"
west 50 street,NY,34770,"Facing History School, The"
west 50 street,NY,34770,Manhattan Bridges High School
west 56 street,NY,34890,High School for Environmental Studies
west 61 street,NY,34990,West End Secondary School
west 84 street,NY,35450,"Urban Assembly School for Green Careers, The"
west 84 street,NY,35450,"Global Learning Collaborative, The"
west 84 street,NY,35450,Frank McCourt High School
west 114 street,NY,36050,Wadleigh Secondary School for the Performing & Visual Arts
west 114 street,NY,36050,Frederick Douglass Academy II Secondary School
west 123 street,NY,36230,Columbia Secondary School
west 129 street,NY,36350,Urban Assembly School for the Performing Arts
west 135 street,NY,36470,Thurgood Marshall Academy for Learning and Social Change
west 135 street,NY,36470,A. Philip Randolph Campus High School
west 158 street,NY,36930,Community Health Academy of the Heights
west 165 street,NY,37070,Gregorio Luperon High School for Science and Mathematics
west 182 street,NY,37390,Washington Heights Expeditionary Learning School (WHEELS)
antin place,BX,08930,Bronx High School for the Visual Arts
astor avenue,BX,09620,Collegiate Institute for Math and Science (CIMS)
astor avenue,BX,09620,Astor Collegiate Academy
astor avenue,BX,09620,Bronxdale High School
astor avenue,BX,09620,High School of Language and Innovation
astor avenue,BX,09620,Pelham Preparatory Academy
bathgate avenue,BX,11420,"Urban Assembly School for Applied Math and Science, The"
bathgate avenue,BX,11420,Mott Hall Bronx High School
bathgate avenue,BX,11420,Validus Preparatory Academy
baychester avenue,BX,11620,Bronx Health Sciences High School
baychester avenue,BX,11620,Harry S Truman High School
boston road,BX,13820,Morris Academy for Collaborative Studies
boston road,BX,13820,Bronx International High School
boston road,BX,13820,School for Excellence
boston road,BX,13820,High School for Violin and Dance
boston road,BX,13820,Explorations Academy H.S.
boston road,BX,13820,Bronx Envision Academy
boynton avenue,BX,14220,Pan American International High School at Monroe
boynton avenue,BX,14220,"Metropolitan Soundview High School, The"
boynton avenue,BX,14220,High School of World Cultures
brook avenue,BX,15720,International Community High School
crotona avenue,BX,22320,Bronx Academy for Software Engineering (BASE)
crotona avenue,BX,22320,Crotona International High School
